id,locality_name,Postal_code,Price,Type_of_property,Number_of_rooms,Living_area,Type_of_sale,Equipped_kitchen,Furnished,Open_fire,Terrace,Garden,Number_of_facades,Swimming_Pool,State_of_building
20232246,Pervijze,8600,265000.0,HOUSE,1.0,110.0,FOR_SALE,False,False,False,,,3.0,True,
20230381,Deurne,2100,295000.0,HOUSE,,134.0,FOR_SALE,False,False,False,,,2.0,False,
20230709,Waregem,8790,390000.0,HOUSE,,159.0,FOR_SALE,True,False,False,,675.0,2.0,True,AS_NEW
20230549,Erpe-Mere,9420,449000.0,MIXED_USE_BUILDING,,,FOR_SALE,False,False,False,,750.0,3.0,True,TO_BE_DONE_UP
20230531,Stree,4577,455000.0,VILLA,,210.0,FOR_SALE,True,False,False,150.0,1000.0,4.0,True,GOOD
20230486,Haacht,3150,464500.0,HOUSE,,181.0,FOR_SALE,False,False,False,,,2.0,True,
20229906,Bruxelles,1000,499000.0,HOUSE,13.0,168.0,FOR_SALE,True,False,False,14.0,,2.0,False,GOOD
20229916,Molenbeek-saint-jean,1080,499000.0,HOUSE,13.0,168.0,FOR_SALE,True,False,False,14.0,,2.0,False,GOOD
20231215,DEURLE,9831,535000.0,COUNTRY_COTTAGE,,117.0,FOR_SALE,False,False,True,,,4.0,True,
20229783,Gingelom,3890,769000.0,VILLA,18.0,,FOR_SALE,False,False,False,,,,True,AS_NEW
20162622,Nieuwpoort,8620,795000.0,VILLA,1.0,410.0,FOR_SALE,False,False,False,,1157.0,4.0,True,GOOD
20230254,Saint-Gilles,1060,1750000.0,APARTMENT_BLOCK,,820.0,FOR_SALE,False,False,False,,,2.0,False,
20211649,Seraing,4100,130000.0,HOUSE,,100.0,FOR_SALE,True,False,False,,,2.0,False,AS_NEW
20209562,Wichelen,9260,209000.0,HOUSE,,180.0,FOR_SALE,False,False,False,20.0,,2.0,True,TO_BE_DONE_UP
20210445,MECHELEN,2800,299000.0,HOUSE,,150.0,FOR_SALE,False,False,False,,,,True,TO_BE_DONE_UP
20209464,Zedelgem,8210,330000.0,BUNGALOW,1.0,186.0,FOR_SALE,False,False,False,13.0,,4.0,True,GOOD
20209039,Messancy,6780,405000.0,HOUSE,,130.0,FOR_SALE,True,False,False,25.0,120.0,2.0,False,GOOD
20209043,BEERSEL,1650,1125000.0,VILLA,,330.0,FOR_SALE,True,False,True,,,4.0,True,AS_NEW
20209045,ALSEMBERG,1652,1125000.0,VILLA,,330.0,FOR_SALE,True,False,True,,,4.0,True,AS_NEW
20112057,Ronse,9600,239000.0,HOUSE,,160.0,FOR_SALE,False,False,False,25.0,100.0,2.0,False,GOOD
20243824,Kortrijk,8500,339000.0,HOUSE,13.0,,FOR_SALE,False,False,False,,,,True,GOOD
20243470,Sint-Idesbald,8670,1580000.0,VILLA,12.0,,FOR_SALE,False,False,False,,,,True,GOOD
20224885,Lauwe,8930,175000.0,HOUSE,11.0,143.0,FOR_SALE,False,False,False,,,,True,TO_RENOVATE
20225961,Eeklo,9900,377000.0,HOUSE,1.0,162.0,FOR_SALE,False,False,False,,,4.0,True,AS_NEW
20225955,Brugge,8000,445000.0,HOUSE,,160.0,FOR_SALE,False,False,False,30.0,,2.0,False,GOOD
20216294,Willebroek,2830,579000.0,HOUSE,,215.0,FOR_SALE,False,False,False,1.0,1.0,3.0,False,AS_NEW
20213103,SINT-NIKLAAS,9100,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20210533,Sint-Lambrechts-Woluwe,1200,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20175171,De Haan,8420,215000.0,HOUSE,1.0,75.0,FOR_SALE,False,False,False,,,4.0,True,AS_NEW
20195238,Waregem,8790,295000.0,HOUSE,13.0,214.0,FOR_SALE,True,False,False,,554.0,,True,TO_BE_DONE_UP
20188764,Haaltert,9450,399000.0,HOUSE,,255.0,FOR_SALE,False,False,False,48.0,32.0,3.0,False,AS_NEW
20192568,Oudenaarde,9700,435000.0,HOUSE,21.0,162.0,FOR_SALE,False,False,False,7.0,,,True,GOOD
20235050,Zonhoven,3520,439000.0,HOUSE,,180.0,FOR_SALE,False,False,False,,,3.0,False,AS_NEW
20194303,Bonheiden,2820,360000.0,HOUSE,1.0,230.0,FOR_SALE,False,False,False,,,3.0,True,TO_RENOVATE
20124564,GROBBENDONK,2280,620000.0,VILLA,,213.0,FOR_SALE,False,False,True,23.0,1500.0,4.0,True,
20236052,Silly,7830,235000.0,HOUSE,,142.0,FOR_SALE,False,False,False,,1160.0,4.0,False,
20237227,Verviers,4800,299000.0,HOUSE,,180.0,FOR_SALE,False,False,False,29.0,187.0,2.0,False,GOOD
20240396,Gistel,8470,402293.0,HOUSE,,145.0,FOR_SALE,True,False,False,,,3.0,True,AS_NEW
20238654,Ternat,1740,429000.0,BUNGALOW,,150.0,FOR_SALE,True,False,False,,,4.0,False,TO_BE_DONE_UP
20237071,Evergem,9940,479000.0,HOUSE,,170.0,FOR_SALE,True,False,False,,,3.0,False,
20237726,Waregem,8792,595000.0,HOUSE,1.0,266.0,FOR_SALE,False,False,False,,,4.0,True,
20212142,Hotton,6990,180000.0,HOUSE,4.0,100.0,FOR_SALE,False,False,False,,,,True,TO_RESTORE
20214449,Gent,9000,225000.0,HOUSE,7.0,41.0,FOR_SALE,False,False,False,,,,True,GOOD
